fuel,split,method,segment_type,segment_value,observations,mae_mw,rmse_mw,nmae_vs_available_capacity,nrmse_vs_available_capacity
Wind,train,seasonal_naive,season,Fall,10920,902.9405677655677,1200.9651195628428,0.19724973746175453,0.26235398318707465
Wind,train,seasonal_naive,season,Spring,9408,965.9612032312925,1267.9277390221425,0.21402927350569262,0.28093638950802263
Wind,train,seasonal_naive,season,Summer,9576,621.3678989139515,851.5755344495377,0.13978240885042387,0.19156972822622073
Wind,train,seasonal_naive,season,Winter,9408,1271.9943664965986,1602.7061324397664,0.2806658430121495,0.3536374685376027
Wind,train,seasonal_naive,hour_block,Afternoon,9828,1027.072547822548,1361.0814054594025,0.22752377854049793,0.30151558906707276
Wind,train,seasonal_naive,hour_block,Evening,9828,964.1264753764754,1270.6020594617119,0.21231155077986913,0.27980093956352914
Wind,train,seasonal_naive,hour_block,Morning,9828,972.6837606837607,1309.5767681044176,0.21608296795230067,0.29092418959936356
Wind,train,seasonal_naive,hour_block,Overnight,9828,787.1363451363451,1060.674648135897,0.17415996989562638,0.23468242310219348
Wind,train,ieso_raw,season,Fall,10920,230.05906593406593,514.9700201985517,0.050257006912965335,0.11249655283094066
Wind,train,ieso_raw,season,Spring,9408,258.00361394557825,516.3414627598349,0.057166194532342084,0.11440644591695134
Wind,train,ieso_raw,season,Summer,9576,115.22170008354219,253.55344797817426,0.0259201783961952,0.05703917404273239
Wind,train,ieso_raw,season,Winter,9408,160.03794642857142,352.0007242680107,0.03531240886861925,0.07766903896726698
Wind,train,ieso_raw,hour_block,Afternoon,9828,159.17205942205942,333.6185091171646,0.035260827946923895,0.07390533798835358
Wind,train,ieso_raw,hour_block,Evening,9828,144.21052096052097,330.64182522068586,0.03175678723265574,0.07281106831744112
Wind,train,ieso_raw,hour_block,Morning,9828,150.1303418803419,331.8533253229196,0.03335165154848819,0.07372164968623397
Wind,train,ieso_raw,hour_block,Overnight,9828,314.55209605209603,632.7507496578027,0.06959707033925616,0.14000096958138744
Wind,train,linear_residual,season,Fall,10920,106.01718053294998,167.39561636463895,0.02315973140769239,0.03656801184809136
Wind,train,linear_residual,season,Spring,9408,117.15607923623958,178.31648794967367,0.025958424046254088,0.039509814930752375
Wind,train,linear_residual,season,Summer,9576,79.63354142882471,125.38112297914249,0.017914295646213677,0.028205633771922325
Wind,train,linear_residual,season,Winter,9408,105.14173168041016,160.64977452480113,0.0231995467394379,0.03544740887563956
Wind,train,linear_residual,hour_block,Afternoon,9828,97.85772736742378,148.67062696742104,0.021678079058022853,0.03293448245435607
Wind,train,linear_residual,hour_block,Evening,9828,95.77349788571725,157.64004128886197,0.021090407098082364,0.03471411944991125
Wind,train,linear_residual,hour_block,Morning,9828,100.95986166092136,158.49110508734705,0.022428365141420624,0.03520900601572642
Wind,train,linear_residual,hour_block,Overnight,9828,113.59534056315375,171.8217151519152,0.025133842713533205,0.03801687588582767
Wind,train,gradient_boosted,season,Fall,10920,74.9141960007863,120.1950054092165,0.016365202783922377,0.02625691447206921
Wind,train,gradient_boosted,season,Spring,9408,86.79654901513751,133.5802354604837,0.01923162365772882,0.029597545589500236
Wind,train,gradient_boosted,season,Summer,9576,58.822499867474775,100.71013182675759,0.013232660941208377,0.022655667997965565
Wind,train,gradient_boosted,season,Winter,9408,73.83500110259232,121.39025943588665,0.016291709597219723,0.026784788042634594
Wind,train,gradient_boosted,hour_block,Afternoon,9828,70.9387445765359,114.96964140206356,0.01571481123236226,0.025468821345386663
Wind,train,gradient_boosted,hour_block,Evening,9828,68.85516891011525,117.21993653101859,0.015162686705401407,0.025813155372069182
Wind,train,gradient_boosted,hour_block,Morning,9828,69.4535820383985,115.29998304032848,0.015429203969875948,0.02561404183687639
Wind,train,gradient_boosted,hour_block,Overnight,9828,85.07168463033572,129.8802876246857,0.018822764474969198,0.02873701249156829
Wind,train,best_ml,season,Fall,10920,74.9141960007863,120.1950054092165,0.016365202783922377,0.02625691447206921
Wind,train,best_ml,season,Spring,9408,86.79654901513751,133.5802354604837,0.01923162365772882,0.029597545589500236
Wind,train,best_ml,season,Summer,9576,58.822499867474775,100.71013182675759,0.013232660941208377,0.022655667997965565
Wind,train,best_ml,season,Winter,9408,73.83500110259232,121.39025943588665,0.016291709597219723,0.026784788042634594
Wind,train,best_ml,hour_block,Afternoon,9828,70.9387445765359,114.96964140206356,0.01571481123236226,0.025468821345386663
Wind,train,best_ml,hour_block,Evening,9828,68.85516891011525,117.21993653101859,0.015162686705401407,0.025813155372069182
Wind,train,best_ml,hour_block,Morning,9828,69.4535820383985,115.29998304032848,0.015429203969875948,0.02561404183687639
Wind,train,best_ml,hour_block,Overnight,9828,85.07168463033572,129.8802876246857,0.018822764474969198,0.02873701249156829
Wind,validation,seasonal_naive,season,Fall,2184,1101.1565934065934,1420.1841626566625,0.22515491228237708,0.2903868918212186
Wind,validation,seasonal_naive,season,Spring,2208,1111.153079710145,1389.379440965736,0.22719259271469028,0.28408031550417395
Wind,validation,seasonal_naive,season,Summer,2208,681.557518115942,947.7157341585815,0.14078416818820905,0.19576245256779143
Wind,validation,seasonal_naive,season,Winter,2184,1366.3411172161173,1694.8882607933456,0.28153493476396113,0.34923215727188206
Wind,validation,seasonal_naive,hour_block,Afternoon,2196,1121.4895264116576,1461.1671188715557,0.23056080178682464,0.30039323108926763
